country,year,gdp_per_capita,life_expectancy,infant_mortality,health_spending,smoking_rate,birth_rate
PSE,1993,,68.759,34.1,,,44.14
PSE,1994,1201.58154213882,69.328,32.7,,,43.78
PSE,1995,1326.56285737146,69.583,31.5,,,43.42
PSE,1996,1317.46675131385,69.982,30.3,,,43.06
PSE,1997,1389.16497137651,70.328,29.2,,,42.7
PSE,1998,1465.04605685868,70.564,28.2,,,42.1
PSE,1999,1499.49217657019,70.789,27.2,,,41.4
PSE,2000,1476.17185000238,70.298,26.4,129.54533386,,40.9
PSE,2001,1335.55319529359,69.75,25.5,127.37930298,,40.2
PSE,2002,1156.21747345769,70.88,24.8,118.22906494,,39.6
PSE,2003,1257.69857009689,70.967,24.0,111.62216187,,38.8
PSE,2004,1422.19088643544,71.094,23.3,150.72610474,,38.1
PSE,2005,1543.70141392774,72.004,22.6,158.43028259,,37.3
PSE,2006,1570.10439962728,71.831,21.8,154.09745789,,36.7
PSE,2007,1664.24571669276,72.064,21.1,149.22294617,,35.855
PSE,2008,2035.20234121766,72.204,20.4,200.96418762,,33.887
PSE,2009,2191.78178736868,72.306,19.7,221.97026062,,34.019
PSE,2010,2557.07562356699,73.302,19.0,219.44699097,,34.543
PSE,2011,2880.79843707909,73.557,18.4,308.36453247,,34.083
PSE,2012,3067.43872735614,73.722,17.7,298.34082031,,33.371
PSE,2013,3315.29753909282,74.14,17.1,327.25717163,,32.9
PSE,2014,3352.11259506043,72.781,17.6,314.27474976,,32.782
PSE,2015,3272.15432360708,74.577,15.8,286.91394043,,32.87
PSE,2016,3527.61382413178,74.917,15.2,299.4125061,,32.274
PSE,2017,3620.36048715937,75.216,14.7,310.2114563,,31.432
PSE,2018,3562.33094270256,75.38,14.1,324.02166748,,30.529
PSE,2019,3656.85827137011,75.811,13.6,317.45007324,,29.708
PSE,2020,3233.56863835858,74.998,13.2,314.82254028,,28.877
PSE,2021,3678.63565662194,73.89,12.8,364.4173584,,28.225
PSE,2022,3799.95527015163,76.662,12.3,350.63812256,,27.575
PSE,2023,3455.02852911712,65.17,14.3,,,27.062
PSS,1990,1343.27719993773,65.4079695743484,27.8138021926364,,,33.5455792238936
PSS,1991,1404.20977100088,65.712646615018,26.912241440051,,,33.0883251850787
PSS,1992,1519.64824897657,65.8184307733139,26.1112676529361,,,32.5879662311651
PSS,1993,1573.63525576083,65.9809205557246,25.3325114323523,,,32.2152620567812
PSS,1994,1818.22509065982,66.2175038703264,24.648116630164,,,31.8497050239962
PSS,1995,1948.76586785068,66.3962764207464,24.0671055478802,,,31.5900375011437
PSS,1996,2061.83695112443,66.5580295814554,23.5136997675191,,,31.2620541030617
PSS,1997,2037.02607459993,66.6807208082094,23.092821538718,,,30.688931374134
PSS,1998,1729.29069896664,66.8765066591632,22.6487638988447,,,30.2221804450593
PSS,1999,1858.84967098476,66.999001761912,22.2535419687047,,,29.7922159824136
PSS,2000,1688.38767361595,66.8914832838297,21.9112459425718,82.6006911322602,38.144618706535,29.4166408082363
PSS,2001,1639.28207473882,67.0167243338519,21.6085668362359,79.4335892004223,,29.1674677910219
PSS,2002,1697.33560613296,66.7584824574172,21.4532240509252,88.3824422971553,,28.9404503866561
PSS,2003,1999.39243376336,66.9599297545214,21.1441872292952,94.9725034187979,,28.743096949814
PSS,2004,2272.93162993132,67.1038169577792,21.1119730378156,116.514084021142,,28.5582389153136
PSS,2005,2494.53419435975,67.2332794133166,21.0340244990671,138.538033964636,36.0970306074671,28.402605260114
PSS,2006,2589.15728098538,67.3577049121232,20.9897877813505,147.509581698034,,28.346411440733
PSS,2007,2822.03970818484,67.3668379536838,20.8492293209089,153.402058921112,35.2625436980435,28.2532714384892
PSS,2008,2991.32349285972,67.5747311016589,20.6521981856246,157.679475867996,,28.1394073825644
PSS,2009,2670.88609968315,67.4527929020498,20.5331514950271,154.600642063355,,27.953919314232
PSS,2010,2903.69051166434,67.9059171883101,20.029668629525,161.592821801826,34.268691932453,27.6682759641286
PSS,2011,3341.48832070497,68.0222810195532,19.699677885673,163.245977353145,,27.421320058305
PSS,2012,3494.91242432315,67.6660532253593,19.3558894624394,176.188185226556,,27.2639287387688
PSS,2013,3586.99115235794,68.0054625635404,19.0688639985148,177.136262747423,,27.1259023202938
PSS,2014,3847.92223002139,68.0376132124003,18.8996947618682,185.035020890264,,27.0023917446522
PSS,2015,3721.79465162999,68.1166096033138,18.8068440189626,178.434674421376,32.7691644437239,26.6479903531864
PSS,2016,3853.8127301538,68.2856508563666,18.9049921468387,185.202154850089,,26.2100998884492
PSS,2017,4096.99353767088,68.5192875005129,19.0265294711501,189.349287277612,,25.6512668945286
PSS,2018,4245.78362603826,68.5825887890247,19.1626971843097,217.301131379356,,25.1624810049846
PSS,2019,4170.32120953703,68.6421578303985,19.3966172462147,225.932251105481,,24.7085617782218
