country,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ECS,,,,,,,,,,,35.0914198003185,,,,,32.4073220001484,,31.4706170343189,,,30.0952757844586,,,,,28.0777072600698,,,,,26.3786971124788,26.0652746652581,25.7502434177691,
ECU,,,,,,,,,,,14.5,,,,,13.3,,12.8,,,12.2,,,,,11.3,,,,,10.5,10.3,10.2,
EGY,,,,,,,,,,,19.4,,,,,20.5,,21.0,,,21.6,,,,,22.8,,,,,24.2,24.5,24.7,
EMU,,,,,,,,,,,34.5227781636048,,,,,32.214074928108,,31.4013581224057,,,30.2011484575241,,,,,28.3952417235398,,,,,26.8713838557487,26.551979891196,26.305215294913,
ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,,,,,,,,,,35.0,,,,,33.3,,32.8,,,31.7,,,,,30.3,,,,,28.9,28.7,28.4,
EST,,,,,,,,,,,47.6,,,,,42.1,,40.3,,,37.3,,,,,33.3,,,,,29.6,28.9,28.3,
ETH,,,,,,,,,,,6.3,,,,,6.0,,5.9,,,5.8,,,,,5.5,,,,,5.3,5.3,5.2,
EUU,,,,,,,,,,,35.63439663131,,,,,33.0605809771629,,32.1425536198794,,,30.8102135803478,,,,,28.7944442783504,,,,,27.0556963981505,26.7086368131887,26.4284547947647,
FCS,,,,,,,,,,,24.9059521283804,,,,,21.6682355683261,,20.4229013765826,,,18.7316574839592,,,,,16.4297493080035,,,,,14.4012568881764,14.0610685569522,13.6707955809136,
FIN,,,,,,,,,,,38.7,,,,,34.1,,32.5,,,30.2,,,,,26.5,,,,,23.4,22.8,22.3,
FJI,,,,,,,,,,,33.2,,,,,31.8,,31.2,,,30.4,,,,,29.2,,,,,28.0,27.9,27.6,
FRA,,,,,,,,,,,34.7,,,,,34.5,,34.5,,,34.4,,,,,34.5,,,,,34.5,34.5,34.6,
